resource,scg_id,description,condition_key,iso_27001,scg_6.x,scg_7,scg_8,vsan_hg,nsx-t_scg,(kein_alert),strictest_requirement,note
VirtualMachine,VM.Deactivate-unexposed-features-trashfolderstate,Trash folder state is activated (5.5/6.0 Hardening Guide),config|security|disable_unexposed_features_trashfolderstate,≠ false,,≠ false,,,,,≠ false,
VirtualMachine,VM.Deactivate-unexposed-features-trayicon,Tray icon feature is activated,config|security|disable_unexposed_features_trayicon,≠ false,≠ false,≠ false,,,,,≠ false,
VirtualMachine,VM.Deactivate-unexposed-features-unity,Unity feature is activated,config|security|disable_unexposed_features_unity,≠ false,≠ false,≠ false,,,,,≠ false,
VirtualMachine,VM.Deactivate-unexposed-features-unity-interlock,Unity Interlock is activated,config|security|disable_unexposed_features_unity_interlock,≠ false,≠ false,≠ false,,,,,≠ false,
VirtualMachine,VM.Deactivate-unexposed-features-unity-taskbar,Unity taskbar feature is activated,config|security|disable_unexposed_features_unity_taskbar,≠ false,≠ false,≠ false,,,,,≠ false,
VirtualMachine,VM.Deactivate-unexposed-features-unity-unityactive,Unity feature is activated,config|security|disable_unexposed_features_unity_unityactive,≠ false,= true,= none,,,,,false / nicht gesetzt,Export contains contradictory conditions; conservative choice: Unity not active.
VirtualMachine,VM.Deactivate-unexposed-features-unity-windowcontents,Unity window contents is activated,config|security|disable_unexposed_features_unity_windowcontents,≠ false,≠ false,≠ false,,,,,≠ false,
VirtualMachine,VM.Deactivate-unexposed-features-unitypush,Unity push feature is activated,config|security|disable_unexposed_features_unitypush,≠ false,≠ false,≠ false,,,,,≠ false,
VirtualMachine,VM.Deactivate-unexposed-features-versionget,version get feature is activated,config|security|disable_unexposed_features_versionget,≠ false,≠ false,≠ false,≠ false,,,,≠ false,
VirtualMachine,VM.Deactivate-unexposed-features-versionset,Versionset feature is activated,config|security|disable_unexposed_features_versionset,≠ false,≠ false,≠ false,,,,,≠ false,
VirtualMachine,VM.Deactivate-vix-messages,VIX messages are activated on the VM (5.5/6.0 Hardening Guide),config|security|disable_vix_messages,≠ false,,≠ false,,,,,≠ false,
VirtualMachine,–,CD-ROM connected,config|security|disconnect_devices_cd,,,≠ false,≠ false,,,,≠ false,
